game_id,game_date,team_id,team_name,player_id,player_name,position,batting_order,ab,r,h,doubles,triples,hr,rbi,bb,k,lob,avg,ops,obp,slg
744798,"['2024', '09', '29']",120,Nationals,671277,"García Jr., L",2B,100,5,1,2,0,0,1,2,0,1,3,.282,.762,.318,.444
744798,"['2024', '09', '29']",120,Nationals,695578,Wood,LF,200,5,0,0,0,0,0,0,0,4,5,.264,.781,.354,.427
744798,"['2024', '09', '29']",120,Nationals,660766,Yepez,DH,300,5,0,1,0,0,0,1,0,1,3,.283,.764,.335,.429
744798,"['2024', '09', '29']",120,Nationals,677588,Tena,3B,400,4,0,0,0,0,0,0,0,3,2,.267,.652,.298,.354
744798,"['2024', '09', '29']",120,Nationals,686611,Crews,RF,500,3,0,3,0,1,0,0,0,0,0,.218,.641,.288,.353
744798,"['2024', '09', '29']",120,Nationals,608336,Gallo,1B,600,3,0,0,0,0,0,0,0,1,3,.161,.613,.277,.336
744798,"['2024', '09', '29']",120,Nationals,656448,"Garrett, S",PH,601,1,0,0,0,0,0,0,0,0,1,.600,2.067,.667,1.400
744798,"['2024', '09', '29']",120,Nationals,702358,Lipscomb,1B,602,0,0,0,0,0,0,0,0,0,0,.200,.500,.268,.232
744798,"['2024', '09', '29']",120,Nationals,686452,Millas,C,700,4,0,2,0,0,0,0,0,2,1,.246,.622,.306,.316
744798,"['2024', '09', '29']",120,Nationals,696285,Young,CF,800,3,1,1,0,0,0,0,1,1,2,.256,.647,.316,.331
744798,"['2024', '09', '29']",120,Nationals,683083,Nuñez,SS,900,3,1,1,0,0,0,0,0,1,0,.246,.632,.370,.262
744798,"['2024', '09', '29']",120,Nationals,671117,Baker,PH,901,1,0,1,0,0,0,0,0,0,0,.500,1.143,.500,.643
744798,"['2024', '09', '29']",143,Phillies,656941,Schwarber,DH,100,4,2,1,0,0,0,2,1,1,0,.248,.851,.366,.485
744798,"['2024', '09', '29']",143,Phillies,607208,Turner,SS,200,4,1,2,0,0,0,0,0,0,2,.295,.807,.338,.469
744798,"['2024', '09', '29']",143,Phillies,671083,"Kennedy, B",3B,201,1,0,0,0,0,0,0,0,1,0,.190,.689,.308,.381
744798,"['2024', '09', '29']",143,Phillies,592206,"Castellanos, N",RF,300,0,0,0,0,0,0,0,1,0,0,.254,.742,.311,.431
744798,"['2024', '09', '29']",143,Phillies,642215,"Wilson, W",RF,301,3,0,1,1,0,0,2,0,1,0,.284,.836,.347,.489
744798,"['2024', '09', '29']",143,Phillies,681082,Stott,2B,400,4,0,1,0,0,0,1,0,0,3,.245,.671,.315,.356
744798,"['2024', '09', '29']",143,Phillies,664761,Bohm,1B,500,4,0,1,0,0,0,1,0,1,2,.280,.780,.332,.448
744798,"['2024', '09', '29']",143,Phillies,669016,Marsh,CF,600,4,0,0,0,0,0,0,0,0,3,.249,.747,.328,.419
744798,"['2024', '09', '29']",143,Phillies,665019,Clemens,LF,700,2,1,1,0,0,0,0,1,1,0,.219,.705,.258,.447
744798,"['2024', '09', '29']",143,Phillies,624641,"Sosa, E",SS,800,4,1,1,0,0,0,0,0,1,4,.257,.735,.313,.422
744798,"['2024', '09', '29']",143,Phillies,596117,Stubbs,C,900,4,1,1,0,0,0,0,0,0,1,.207,.558,.296,.262
